"taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory"								
"5189188	Astarte smithii Dall"	" 1886	5189188	Astarte smithii Dall"	" 1886	1	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Bivalvia	137	Carditida	9280416	Astartidae	6859	Astarte	2287271	Astarte smithii	5189188	NE"						
"5289825	Eustachys petraea (Sw.) Desv.	5289825	Eustachys petraea (Sw.) Desv.	5	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Eustachys	2703568	Eustachys petraea	5289825	NE"								
"6490889	Alvania moolenbeeki De Jong & Coomans"	" 1988	6490889	Alvania moolenbeeki De Jong & Coomans"	" 1988	1	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Littorinimorpha	7390893	Rissoidae	7066	Alvania	11265311	Alvania moolenbeeki	6490889	NE"						
"8292425	Calidris subruficollis (Vieillot"	" 1819)	2481773	Tryngites subruficollis (Vieillot"	" 1819)	20	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Tryngites	2481772	Tryngites subruficollis	2481773	NT"						
"9180537	Smilax pilosa (Fabricius"	" 1787)	9180537	Smilax pilosa (Fabricius"	" 1787)	19	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Staphylinidae	7854	Smilax	3262240	Smilax pilosa	9180537	NE"						
"11317430	Lamellaxis micra (d'Orbigny"	" 1835)	8188096	Allopeas micra (d'Orbigny"	" 1835)	18	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225	Stylommatophora	1456	Achatinidae	2630	Allopeas	8151789	Allopeas micra	8188096	NE"						
"212	Aves	212	Aves	3	CLASS	ACCEPTED	Animalia	1	Chordata	44	Aves	212									"								
"2224310	Iridopagurus reticulatus García-Gómez"	" 1983	2224310	Iridopagurus reticulatus García-Gómez"	" 1983	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Decapoda	637	Paguridae	4531	Iridopagurus	2224305	Iridopagurus reticulatus	2224310	NE"						
"2303101	Colubraria Schumacher"	" 1817	2303101	Colubraria Schumacher"	" 1817	1	GENUS	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Neogastropoda	982	Colubrariidae	3243461	Colubraria	2303101			"						
"2387400	Malacanthus Cuvier"	" 1829	2387400	Malacanthus Cuvier"	" 1829	1	GENUS	ACCEPTED	Animalia	1	Chordata	44	Actinopterygii	204	Perciformes	587	Malacanthidae	8543	Malacanthus	2387400			NE"						
"2396546	Centropyge argi Woods & Kanazawa"	" 1951	2396546	Centropyge argi Woods & Kanazawa"	" 1951	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Actinopterygii	204	Perciformes	587	Pomacanthidae	4498	Centropyge	2396480	Centropyge argi	2396546	LC"						
"2643307	Halimeda tuna (J.Ellis & Sol.) J.V.Lamour.	2643307	Halimeda tuna (J.Ellis & Sol.) J.V.Lamour.	2	SPECIES	ACCEPTED	Plantae	6	Chlorophyta	36	Ulvophyceae	195	Bryopsidales	625	Halimedaceae	8778	Halimeda	2643252	Halimeda tuna	2643307	NE"								
"2794113	Prosthechea boothiana (Lindl.) W.E.Higgins	2794113	Prosthechea boothiana (Lindl.) W.E.Higgins	5	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Orchidaceae	7689	Prosthechea	2793960	Prosthechea boothiana	2794113	NE"								
"3069398	Euphorbia bruntii (Proctor) Oudejans	3069398	Euphorbia bruntii (Proctor) Oudejans	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Euphorbiaceae	4691	Euphorbia	11397237	Euphorbia bruntii	3069398	DD"								
"3152263	Malvastrum A.Gray	3152263	Malvastrum A.Gray	1	GENUS	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malvales	941	Malvaceae	6685	Malvastrum	3152263			"								
"4374764	Pinctada radiata (Leach"	" 1814)	2285338	Pinctada imbricata Röding"	" 1798	4	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Bivalvia	137	Ostreida	9485611	Margaritidae	11274749	Pinctada	10938771	Pinctada imbricata	2285338	NE"						
"5231132	Zonotrichia leucophrys (J.R.Forster"	" 1772)	5231132	Zonotrichia leucophrys (J.R.Forster"	" 1772)	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Emberizidae	9608	Zonotrichia	6173226	Zonotrichia leucophrys	5231132	LC"						
"5846430	Leucophaeus pipixcan (Wagler"	" 1831)	5846430	Leucophaeus pipixcan (Wagler"	" 1831)	11	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Laridae	9316	Leucophaeus	4352369	Leucophaeus pipixcan	5846430	NE"						
"7341822	Setophaga palmarum (J.F.Gmelin"	" 1789)	7341822	Setophaga palmarum (J.F.Gmelin"	" 1789)	3983	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Parulidae	5263	Setophaga	2489984	Setophaga palmarum	7341822	LC"						
"9188360	Strophia lineota Maynard"	" 1889	11145436	Cerion pannosum (Maynard"	" 1889)	3	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225	Stylommatophora	1456	Cerionidae	3244270	Cerion	2294110	Cerion pannosum	11145436	NE"						
"2012173	Dysdercus andreae (Linnaeus"	" 1758)	2012173	Dysdercus andreae (Linnaeus"	" 1758)	27	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hemiptera	809	Pyrrhocoridae	7895	Dysdercus	2012168	Dysdercus andreae	2012173	NE"						
"2239256	Aiolochroia crassa (Hyatt"	" 1875)	2239256	Aiolochroia crassa (Hyatt"	" 1875)	8	SPECIES	ACCEPTED	Animalia	1	Porifera	105	Demospongiae	199	Verongiida	8058188	Aplysinidae	4915	Aiolochroia	2239251	Aiolochroia crassa	2239256	NE"						
"2259218	Caryophyllia berteriana Duchassaing"	" 1850	2259218	Caryophyllia berteriana Duchassaing"	" 1850	1	SPECIES	ACCEPTED	Animalia	1	Cnidaria	43	Anthozoa	206	Scleractinia	714	Caryophylliidae	11260974	Caryophyllia	2259152	Caryophyllia berteriana	2259218	NE"						
"2286301	Pseudochama Odhner"	" 1917	2286301	Pseudochama Odhner"	" 1917	1	GENUS	ACCEPTED	Animalia	1	Mollusca	52	Bivalvia	137	Venerida	9310756	Chamidae	6857	Pseudochama	2286301			"						
"2384111	Halichoeres radiatus (Linnaeus"	" 1758)	2384111	Halichoeres radiatus (Linnaeus"	" 1758)	9	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Actinopterygii	204	Perciformes	587	Labridae	8535	Halichoeres	2381823	Halichoeres radiatus	2384111	LC"						
"3033970	Licaria triandra (Sw.) Kosterm.	3033970	Licaria triandra (Sw.) Kosterm.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Laurales	407	Lauraceae	6688	Licaria	3033969	Licaria triandra	3033970	LC"								
"4334404	Disco oviformis Park"	" 1970	8411631	Pertsovius oviformis (Park"	" 1970)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Hexanauplia	9421786	Calanoida	679	Discoidae	4303274	Pertsovius	6467136	Pertsovius oviformis	8411631	NE"						
"6065879	Charadrius nivosus (Cassin"	" 1858)	6065879	Charadrius nivosus (Cassin"	" 1858)	4	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Charadriidae	2480210	Charadrius	2480277	Charadrius nivosus	6065879	NT"						
"7236882	Plakortis Schulze"	" 1880	7236882	Plakortis Schulze"	" 1880	33	GENUS	ACCEPTED	Animalia	1	Porifera	105	Homoscleromorpha	5964034	Homosclerophorida	1013	Plakinidae	8136	Plakortis	7236882			"						
"7717617	Coenobita Latreille"	" 1829	7717617	Coenobita Latreille"	" 1829	1	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Decapoda	637	Coenobitidae	8033	Coenobita	7717617			"						
"9791354	Cerithidea costata (da Costa"	" 1778)	7482825	Cerithideopsis costata (da Costa"	" 1778)	18	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225			Potamididae	7067	Cerithideopsis	4614478	Cerithideopsis costata	7482825	NE"						
"10485217	BOLD:AAE7302	10485217	BOLD:AAE7302	3	UNRANKED	ACCEPTED	Animalia	1	Chordata	44	Actinopterygii	204	Myctophiformes	1306	Myctophidae	4217	Nannobrachium	2405600	Nannobrachium cuprarium	2405606	"								
"10630391	BOLD:AAC7578	10630391	BOLD:AAC7578	1	UNRANKED	ACCEPTED	Animalia	1	Chordata	44	Actinopterygii	204	Perciformes	587	Labrisomidae	4280	Malacoctenus	2389490	Malacoctenus macropus	2389497	"								
"5644	Salticidae	5644	Salticidae	1	FAMILY	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Salticidae	5644					NE"								
"2301192	Tectarius antonii (Philippi"	" 1846)	2301192	Tectarius antonii (Philippi"	" 1846)	2	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Littorinimorpha	7390893	Littorinidae	2668	Tectarius	2301191	Tectarius antonii	2301192	NE"						
"2303136	Colubraria lanceolata (Menke"	" 1828)	2303135	Tritonoharpa lanceolata (Menke"	" 1828)	1	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225	Neogastropoda	982	Cancellariidae	2303085	Tritonoharpa	2303134	Tritonoharpa lanceolata	2303135	NE"						
"2305660	Anachis hotessieriana (d'Orbigny"	" 1842)	6506353	Costoanachis hotessieriana (d'Orbigny"	" 1842)	5	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225	Neogastropoda	982	Columbellidae	2693	Costoanachis	2305779	Costoanachis hotessieriana	6506353	NE"						
"2381461	Coralliozetus cardonae Evermann & Marsh"	" 1899	2381461	Coralliozetus cardonae Evermann & Marsh"	" 1899	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Actinopterygii	204	Perciformes	587	Chaenopsidae	8516	Coralliozetus	2381458	Coralliozetus cardonae	2381461	LC"						
"2398885	Stegastes variabilis (Castelnau"	" 1855)	2398885	Stegastes variabilis (Castelnau"	" 1855)	10	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Actinopterygii	204	Perciformes	587	Pomacentridae	4499	Stegastes	2398767	Stegastes variabilis	2398885	NE"						
"2405991	Lampanyctus tenuiformis (Brauer"	" 1906)	2405991	Lampanyctus tenuiformis (Brauer"	" 1906)	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Actinopterygii	204	Myctophiformes	1306	Myctophidae	4217	Lampanyctus	2405956	Lampanyctus tenuiformis	2405991	LC"						
"2408100	Lactophrys bicaudalis (Linnaeus"	" 1758)	2408100	Lactophrys bicaudalis (Linnaeus"	" 1758)	27	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Actinopterygii	204	Tetraodontiformes	772	Ostraciidae	2220	Lactophrys	2408092	Lactophrys bicaudalis	2408100	LC"						
"2481930	Cathartes aura (Linnaeus"	" 1758)	2481930	Cathartes aura (Linnaeus"	" 1758)	149	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Accipitriformes	7191147	Cathartidae	3242141	Cathartes	2481927	Cathartes aura	2481930	LC"						
"2489888	Dendroica striata (J.R.Forster"	" 1772)	6092935	Setophaga striata (J.R.Forster"	" 1772)	3	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Parulidae	5263	Setophaga	2489984	Setophaga striata	6092935	NT"						
"2894630	Guettarda elliptica Sw.	2894630	Guettarda elliptica Sw.	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Gentianales	412	Rubiaceae	8798	Guettarda	2894616	Guettarda elliptica	2894630	LC"								
"3244609	Echinella Swainson"	" 1840	2301191	Tectarius Valenciennes"	" 1832	1	GENUS	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225	Littorinimorpha	7390893	Littorinidae	2668	Tectarius	2301191			"						
"4286186	Oxyporhamphus micropterus (Valenciennes"	" 1847)	4286186	Oxyporhamphus micropterus (Valenciennes"	" 1847)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Actinopterygii	204	Beloniformes	498	Hemiramphidae	7191	Oxyporhamphus	2368726	Oxyporhamphus micropterus	4286186	NE"						
"4362810	Fossarus ambiguus (Linnaeus"	" 1758)	4362810	Fossarus ambiguus (Linnaeus"	" 1758)	2	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225			Planaxidae	7068	Fossarus	2299210	Fossarus ambiguus	4362810	NE"						
"5185376	Gorgonia ventalina Linnaeus"	" 1758	5185376	Gorgonia ventalina Linnaeus"	" 1758	23	SPECIES	ACCEPTED	Animalia	1	Cnidaria	43	Anthozoa	206	Alcyonacea	1437	Gorgoniidae	8198	Gorgonia	2258179	Gorgonia ventalina	5185376	NE"						
"10712609	Cyphoma cassidyae Lorenz"	" 2020	10712609	Cyphoma cassidyae Lorenz"	" 2020	3	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Littorinimorpha	7390893	Ovulidae	2666	Cyphoma	2301273	Cyphoma cassidyae	10712609	NE"						
"1652205	Aedes sollicitans Walker"	" 1856	1652205	Aedes sollicitans Walker"	" 1856	15	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Culicidae	3346	Aedes	7924646	Aedes sollicitans	1652205	NE"						
"1764693	Micrathetis triplex Walker"	" 1857	1764693	Micrathetis triplex Walker"	" 1857	6	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Noctuidae	7015	Micrathetis	1764684	Micrathetis triplex	1764693	NE"						
"2221537	Uca rapax (Smith"	" 1870)	9327176	Minuca rapax (Smith"	" 1870)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Malacostraca	229	Decapoda	637	Ocypodidae	4527	Minuca	4646684	Minuca rapax	9327176	NE"						
"2929938	Solanum tampicense Dunal	2929938	Solanum tampicense Dunal	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Solanales	1176	Solanaceae	7717	Solanum	2928997	Solanum tampicense	2929938	NE"								
"5184521	Gardineria simplex (Pourtalès"	" 1878)	5184521	Gardineria simplex (Pourtalès"	" 1878)	2	SPECIES	ACCEPTED	Animalia	1	Cnidaria	43	Anthozoa	206	Scleractinia	714	Gardineriidae	8197	Gardineria	2259430	Gardineria simplex	5184521	NE"						
"5192182	Bursa thomae (d'Orbigny"	" 1847)	11218667	Lampasopsis thomae (d'Orbigny"	" 1847)	2	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225	Littorinimorpha	7390893	Bursidae	2677	Lampasopsis	4614159	Lampasopsis thomae	11218667	NE"						
"5406764	Sida glabra Mill.	5406764	Sida glabra Mill.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malvales	941	Malvaceae	6685	Sida	3152100	Sida glabra	5406764	NE"								
"6173847	Melopyrrha nigra taylori Hartert"	" 1896	6173847	Melopyrrha nigra taylori Hartert"	" 1896	165	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Thraupidae	9352	Melopyrrha	2492257	Melopyrrha nigra	2492258	"						
"10213016	Hyla septentrionalis Duméril & Bibron"	" 1841	2428083	Osteopilus septentrionalis (Duméril & Bibron"	" 1841)	44	SPECIES	SYNONYM	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Hylidae	6735	Osteopilus	2428077	Osteopilus septentrionalis	2428083	LC"						
"2116984	Mesocyclops ogunnus Onabamiro"	" 1957	2116984	Mesocyclops ogunnus Onabamiro"	" 1957	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Hexanauplia	9421786	Cyclopoida	687	Cyclopidae	4988	Mesocyclops	10122307	Mesocyclops ogunnus	2116984	NE"						
"2181308	Phrynus marginemaculatus C.L.Koch"	" 1840	2181308	Phrynus marginemaculatus C.L.Koch"	" 1840	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Amblypygi	1160	Phrynidae	7399	Phrynus	2181305	Phrynus marginemaculatus	2181308	NE"						
"2278811	Eucidaris tribuloides (Lamarck"	" 1816)	2278811	Eucidaris tribuloides (Lamarck"	" 1816)	8	SPECIES	ACCEPTED	Animalia	1	Echinodermata	50	Echinoidea	221	Cidaroida	1467	Cidaridae	9515	Eucidaris	2278810	Eucidaris tribuloides	2278811	NE"						
"2293201	Turbo cailletii P.Fischer & Bernardi"	" 1857	2293201	Turbo cailletii P.Fischer & Bernardi"	" 1857	1	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Trochida	9715180	Turbinidae	6802	Turbo	2293195	Turbo cailletii	2293201	NE"						
"2293577	Fissurella Bruguière"	" 1789	2293577	Fissurella Bruguière"	" 1789	5	GENUS	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Lepetellida	9799313	Fissurellidae	6810	Fissurella	2293577			"						
"2479603	Amazona Lesson"	" 1830	2479603	Amazona Lesson"	" 1830	5	GENUS	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Psittaciformes	1445	Psittacidae	9340	Amazona	2479603			NE"						
"4086574	Lantana involucrata f. rubella Moldenke	2925313	Lantana involucrata L.	1	FORM	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Verbenaceae	6689	Lantana	2925302	Lantana involucrata	2925313	"								
"4265312	Artibeus jamaicensis jamaicensis	4265312	Artibeus jamaicensis jamaicensis	7	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Chiroptera	734	Phyllostomidae	9366	Artibeus	2433258	Artibeus jamaicensis	2433272	"								
"5189305	Chione cancellata (Linnaeus"	" 1767)	5189305	Chione cancellata (Linnaeus"	" 1767)	20	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Bivalvia	137	Venerida	9310756	Veneridae	3445	Chione	2287708	Chione cancellata	5189305	NE"						
"5959942	Hemidactylus mabouia (Moreau De Jonnès"	" 1818)	5959942	Hemidactylus mabouia (Moreau De Jonnès"	" 1818)	13	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Squamata	715	Gekkonidae	5666	Hemidactylus	5221394	Hemidactylus mabouia	5959942	LC"						
"7769508	Chondria dasyphylla (Woodward) C.Agardh	7769508	Chondria dasyphylla (Woodward) C.Agardh	1	SPECIES	ACCEPTED	Plantae	6	Rhodophyta	106	Florideophyceae	342	Ceramiales	665	Rhodomelaceae	4895	Chondria	2668698	Chondria dasyphylla	7769508	NE"								
"7826496	Scalaventer caymani Howden"	" 1970	7826496	Scalaventer caymani Howden"	" 1970	83	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Curculionidae	4239	Scalaventer	4717799	Scalaventer caymani	7826496	NE"						
"7953252	Stictia signata (Linnaeus"	" 1758)	7953252	Stictia signata (Linnaeus"	" 1758)	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Crabronidae	7906	Stictia	1338930	Stictia signata	7953252	NE"						
"8959254	Strophia levigata Maynard"	" 1889	11145436	Cerion pannosum (Maynard"	" 1889)	2	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225	Stylommatophora	1456	Cerionidae	3244270	Cerion	2294110	Cerion pannosum	11145436	NE"						
"2497	Lamiaceae	2497	Lamiaceae	1	FAMILY	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Lamiaceae	2497					NE"								
"2964	Paralepididae	2964	Paralepididae	1	FAMILY	ACCEPTED	Animalia	1	Chordata	44	Actinopterygii	204	Aulopiformes	497	Paralepididae	2964					NE"								
"1043714	Halmus chalybeus (Boisduval"	" 1835)	1043714	Halmus chalybeus (Boisduval"	" 1835)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Coccinellidae	7782	Halmus	1043713	Halmus chalybeus	1043714	NE"						
"2286264	Glycymeris da Costa"	" 1778	2286264	Glycymeris da Costa"	" 1778	1	GENUS	ACCEPTED	Animalia	1	Mollusca	52	Bivalvia	137	Arcida	9574493	Glycymerididae	6886	Glycymeris	2286264			"						
"2291019	Biomphalaria Preston"	" 1910	2291019	Biomphalaria Preston"	" 1910	1	GENUS	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225			Planorbidae	2851	Biomphalaria	2291019			NE"						
"2393924	Sparisoma rubripinne (Valenciennes"	" 1840)	2393924	Sparisoma rubripinne (Valenciennes"	" 1840)	15	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Actinopterygii	204	Perciformes	587	Scaridae	4504	Sparisoma	2393893	Sparisoma rubripinne	2393924	LC"						
"2979265	Vachellia farnesiana (L.) Wight & Arn.	2979265	Vachellia farnesiana (L.) Wight & Arn.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Vachellia	8142432	Vachellia farnesiana	2979265	LC"								
"3086333	Piper amalago L.	3086333	Piper amalago L.	7	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Piperales	404	Piperaceae	6678	Piper	3075433	Piper amalago	3086333	LC"								
"3889976	Mesosphaerum pectinatum (L.) Kuntze	3889976	Mesosphaerum pectinatum (L.) Kuntze	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Lamiaceae	2497	Mesosphaerum	7307350	Mesosphaerum pectinatum	3889976	NE"								
"7235113	Trivia Gray"	" 1837	7235113	Trivia Gray"	" 1837	2	GENUS	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Littorinimorpha	7390893	Triviidae	7061	Trivia	7235113			"						
"10233877	BOLD:AAC1456	10233877	BOLD:AAC1456	1	UNRANKED	ACCEPTED	Animalia	1	Chordata	44	Actinopterygii	204	Perciformes	587	Labrisomidae	4280	Malacoctenus	2389490	Malacoctenus aurolineatus	2389506	"								
"1427855	Pantala flavescens Fabricius"	" 1798	1427855	Pantala flavescens Fabricius"	" 1798	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Odonata	789	Libellulidae	5936	Pantala	1427854	Pantala flavescens	1427855	LC"						
"1861784	Cocytius antaeus Drury"	" 1773	1861784	Cocytius antaeus Drury"	" 1773	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Sphingidae	8868	Cocytius	1861768	Cocytius antaeus	1861784	NE"						
"2020976	Nabis Latreille"	" 1802	2020976	Nabis Latreille"	" 1802	4	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hemiptera	809	Nabidae	7891	Nabis	2020976			"						
"2285356	Isognomon radiatus (Anton"	" 1838)	2285356	Isognomon radiatus (Anton"	" 1838)	11	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Bivalvia	137	Ostreida	9485611	Isognomonidae	3467	Isognomon	2285355	Isognomon radiatus	2285356	NE"						
"2368648	Exocoetus volitans Linnaeus"	" 1758	2368648	Exocoetus volitans Linnaeus"	" 1758	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Actinopterygii	204	Beloniformes	498	Exocoetidae	2968	Exocoetus	2368646	Exocoetus volitans	2368648	LC"						
"2385282	Ocyurus chrysurus (Bloch"	" 1791)	2385282	Ocyurus chrysurus (Bloch"	" 1791)	23	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Actinopterygii	204	Perciformes	587	Lutjanidae	8542	Ocyurus	2385281	Ocyurus chrysurus	2385282	DD"						
"2404189	Enchelycore nigricans (Bonnaterre"	" 1788)	2404189	Enchelycore nigricans (Bonnaterre"	" 1788)	5	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Actinopterygii	204	Anguilliformes	495	Muraenidae	2953	Enchelycore	2404184	Enchelycore nigricans	2404189	LC"						
"2705286	Avena sterilis L.	2705286	Avena sterilis L.	4	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Avena	2705282	Avena sterilis	2705286	LC"								
